example_id,conversation_id,customer_message,conversation_context,intent,expected_action,escalation_reason,historical_resolution,review_status,annotation_notes,proposed_intent,proposed_expected_action,proposed_escalation_reason,reviewed_by,reviewed_at,ai_proposed_intent,ai_proposed_expected_action,ai_proposed_escalation_reason,ai_confidence,ai_agrees_with_candidate
SPOT-GOLD-048,278118,@SpotifyCares Its on WiFi. It happens on all tracks. Sometimes it works fine for 2mins etc. Other apps work fine for sound.,"Prior Turn [SpotifyCares (278112)]: @182414 Is this happening over 3G/4G, WiFi, or both? Also, is this happening on all tracks or just some? /PL",playback_and_audio,DIRECT_TROUBLESHOOT,N/A,"@182414 Did you notice when it started happening? If you can connect using 3G/4G to see if it does the same, that'd be great /PL",VERIFIED,AI recommendation based on diagnostic symptoms: playback_and_audio -> DIRECT_TROUBLESHOOT.,playback_and_audio,DIRECT_TROUBLESHOOT,N/A,human,2026-09-13T15:57:35.058617,playback_and_audio,DIRECT_TROUBLESHOOT,N/A,HIGH,True
SPOT-GOLD-049,2738281,@SpotifyCares is there a playlist for the ama's nominees?,None (thread root),playlist_library_and_curation,DIRECT_TROUBLESHOOT,N/A,"@133627 Hey there! We absolutely have an AMA playlist, you can check it out here: https://t.co/htt8PDLbwT. If you ever need anything else, just shout and we'll come running 🏃 /JX",VERIFIED,AI recommendation based on diagnostic symptoms: playlist_library_and_curation -> DIRECT_TROUBLESHOOT.,playlist_library_and_curation,DIRECT_TROUBLESHOOT,N/A,human,2026-09-13T15:57:36.366373,playlist_library_and_curation,DIRECT_TROUBLESHOOT,N/A,HIGH,True
SPOT-GOLD-050,2307925,@115888 Please Launch in Trinidad and Tobago so I can stop using a VPN to Listen to my Fav music ;),None (thread root),playback_and_audio,DIRECT_TROUBLESHOOT,N/A,@669471 Hey! We're launching in new countries as often as possible. Be sure to add your email at https://t.co/X8DVSXrr8k /NQ,VERIFIED,AI recommendation based on diagnostic symptoms: playback_and_audio -> DIRECT_TROUBLESHOOT.,playback_and_audio,DIRECT_TROUBLESHOOT,N/A,human,2026-09-13T15:57:36.973997,playback_and_audio,DIRECT_TROUBLESHOOT,N/A,HIGH,True
SPOT-GOLD-051,603597,"I want to hear my music everywhere in the house I have an echo.   When can we get @115821 multiroom playback with @115888 integration!? We live in the future now, this should already be an option.",None (thread root),playback_and_audio,DIRECT_TROUBLESHOOT,N/A,"@263426 Hey, we hear you loud and clear, Paul! We can’t make any promises but we’ll pass your suggestion onto the right folks /PB",VERIFIED,AI recommendation based on diagnostic symptoms: playback_and_audio -> DIRECT_TROUBLESHOOT.,playback_and_audio,DIRECT_TROUBLESHOOT,N/A,human,2026-09-13T15:57:37.655008,playback_and_audio,DIRECT_TROUBLESHOOT,N/A,HIGH,True
SPOT-GOLD-052,1824580,@SpotifyCares hey I need help. I forgot the email I used to sign in I know the password is there anything you could do,None (thread root),account_access_and_login,INFO_PROVISION,N/A,@547725 Hey Jerome! Can you send us every possible username or email address you might've used for Spotify via DM? We'll take a look backstage /FR https://t.co/ldFdZRiNAt,VERIFIED,AI recommendation based on diagnostic symptoms: account_access_and_login -> INFO_PROVISION.,account_access_and_login,ESCALATE_TO_HUMAN_DM,REQUIRES_ACCOUNT_BACKEND_ACCESS,human,2026-09-13T15:58:12.766323,account_access_and_login,INFO_PROVISION,N/A,HIGH,False
SPOT-GOLD-053,906927,Spotify needs to stop playing edited songs. Should be some flag to filter those out @spotifycares,None (thread root),playback_and_audio,DIRECT_TROUBLESHOOT,N/A,"@234707 Hi Tyler, help's here. Can you give us more info on what's exactly happening? We'll take a look /AC",VERIFIED,AI recommendation based on diagnostic symptoms: playback_and_audio -> DIRECT_TROUBLESHOOT.,playback_and_audio,DIRECT_TROUBLESHOOT,N/A,human,2026-09-13T15:57:38.081035,playback_and_audio,DIRECT_TROUBLESHOOT,N/A,HIGH,True
SPOT-GOLD-054,23282,"@SpotifyCares Latest version, it only freezes when I play from the side menu on my ps4","Prior Turn [SpotifyCares (23278)]: @121073 Just to confirm, are you listening on PlayStation via Connect? If so, what device, operating system, and Spotify version are you using? /AY",app_crash_and_performance,DIRECT_TROUBLESHOOT,N/A,@121073 Got it. Could you send us your account's email address or username via DM? We'll take a closer look /AY https://t.co/ldFdZRiNAt,VERIFIED,AI recommendation based on diagnostic symptoms: app_crash_and_performance -> DIRECT_TROUBLESHOOT.,app_crash_and_performance,ESCALATE_TO_HUMAN_DM,PERSISTENT_BUG_INTERNAL_LOGS,human,2026-09-13T15:58:14.520770,app_crash_and_performance,DIRECT_TROUBLESHOOT,N/A,MEDIUM,False
SPOT-GOLD-055,1272605,@417891 @115888 my Spotify says that shit unavailable :( idk what to do,Prior Turn [Customer (1272603)]: @417890 @115888 Wait what I was just listening to frank,music_catalog_and_content,INFO_PROVISION,N/A,@417890 @417891 Can you give this a try: log out from Spotify &gt; restart your device &gt; log back in? Did that make a difference? /DR,VERIFIED,AI recommendation based on diagnostic symptoms: music_catalog_and_content -> INFO_PROVISION.,music_catalog_and_content,INFO_PROVISION,N/A,human,2026-09-13T15:57:40.038963,music_catalog_and_content,INFO_PROVISION,N/A,HIGH,True
SPOT-GOLD-056,645130,"@SpotifyCares okkk, so you guys charged me last night but never made my account premium again. What gives?",None (thread root),subscription_and_billing,INFO_PROVISION,N/A,"@273125 Hey Shawn, help's here! Could you DM us your account's email address and username? We'll take a look backstage /CG https://t.co/ldFdZRiNAt",VERIFIED,AI recommendation based on diagnostic symptoms: subscription_and_billing -> INFO_PROVISION.,subscription_and_billing,ESCALATE_TO_HUMAN_DM,BILLING_RECEIPT_OR_PAYMENT_VERIFICATION,human,2026-09-13T15:58:15.161642,subscription_and_billing,INFO_PROVISION,N/A,HIGH,False
SPOT-GOLD-057,1296904,@SpotifyCares I don't like it because it removes the one hand ability when swiping down.,"Prior Turn [SpotifyCares (1296902)]: @423123 Hey! Can you try toggling Behind the Lyrics on and off? Afterwards, try logging out then back in to the app. Does that help? /JS",service_outage_and_status,INFO_PROVISION,N/A,"@423123 We understand. It's currently not possible to completely remove the feature, but we appreciate the feedback. We'll pass on your thoughts /AP",VERIFIED,AI recommendation based on diagnostic symptoms: service_outage_and_status -> INFO_PROVISION.,service_outage_and_status,INFO_PROVISION,N/A,human,2026-09-13T15:57:40.245255,service_outage_and_status,INFO_PROVISION,N/A,HIGH,True
SPOT-GOLD-058,374845,@115888 whatever updates you made to the app make my phone crash when I try to share a song on a Google Pixel.,None (thread root),app_crash_and_performance,DIRECT_TROUBLESHOOT,N/A,"@204884 Hey! We've received similar reports about this. Not to worry, our best tech folks are on the case. Hopefully we'll have a fix soon /SJ",VERIFIED,AI recommendation based on diagnostic symptoms: app_crash_and_performance -> DIRECT_TROUBLESHOOT.,multi_intent,DIRECT_TROUBLESHOOT,N/A,human,2026-09-13T15:58:15.746797,app_crash_and_performance,DIRECT_TROUBLESHOOT,N/A,MEDIUM,False
SPOT-GOLD-059,2473699,"@SpotifyCares Trying to get Spotify premium account working w/ Amazon Echo and having a really bad time. Echo replies ""Your linked Spotify account is not premium."" I do have a premium account. Can you help me out?",None (thread root),subscription_and_billing,INFO_PROVISION,N/A,@707294 Hi Zachary! Help's here. Can you DM us your account's username or email address? /MU https://t.co/ldFdZRiNAt,VERIFIED,AI recommendation based on diagnostic symptoms: subscription_and_billing -> INFO_PROVISION.,subscription_and_billing,ESCALATE_TO_HUMAN_DM,BILLING_RECEIPT_OR_PAYMENT_VERIFICATION,human,2026-09-13T15:58:16.235122,subscription_and_billing,INFO_PROVISION,N/A,HIGH,False
SPOT-GOLD-060,1989304,@115888 I can't login to my account on my computer! The link won't send me an email to update/change my password--nor in my spam folder,None (thread root),account_access_and_login,INFO_PROVISION,N/A,@588719 Hey! That doesn't sound right. Can you DM us your account's email address or username? We'll take a look backstage /KM https://t.co/ldFdZRiNAt,VERIFIED,AI recommendation based on diagnostic symptoms: account_access_and_login -> INFO_PROVISION.,account_access_and_login,ESCALATE_TO_HUMAN_DM,REQUIRES_ACCOUNT_BACKEND_ACCESS,human,2026-09-13T15:58:16.941689,account_access_and_login,INFO_PROVISION,N/A,HIGH,False
SPOT-GOLD-061,1517972,.@115888 stop taking Offset's songs off Spotify 😐,None (thread root),playback_and_audio,DIRECT_TROUBLESHOOT,N/A,@472176 Hey! Sometimes content gets temporarily removed because of licensing changes. Hopefully we'll have it available again soon /DF,VERIFIED,AI recommendation based on diagnostic symptoms: playback_and_audio -> DIRECT_TROUBLESHOOT.,playback_and_audio,DIRECT_TROUBLESHOOT,N/A,human,2026-09-13T15:57:40.412933,playback_and_audio,DIRECT_TROUBLESHOOT,N/A,HIGH,True
SPOT-GOLD-062,1811313,@147836 Can you PLEASE add an explicit filter to Spotify?  I really don't understand how this hasn't happened yet...,None (thread root),music_catalog_and_content,INFO_PROVISION,N/A,@544187 Hey Mike! We hear you. You can show your support for the idea by voting for it in our community here: https://t.co/CdI1SY9KZE /MK,VERIFIED,AI recommendation based on diagnostic symptoms: music_catalog_and_content -> INFO_PROVISION.,music_catalog_and_content,INFO_PROVISION,N/A,human,2026-09-13T15:57:40.592940,music_catalog_and_content,INFO_PROVISION,N/A,HIGH,True
SPOT-GOLD-063,343656,What is matter with Spotify?? Keep crashing.. searching.. @SpotifyCares,None (thread root),app_crash_and_performance,DIRECT_TROUBLESHOOT,N/A,"@197794 Hey, that doesn't sound right. Can you let us know the device, operating system, and Spotify version you're using? We'll help out /RH",VERIFIED,AI recommendation based on diagnostic symptoms: app_crash_and_performance -> DIRECT_TROUBLESHOOT.,app_crash_and_performance,DIRECT_TROUBLESHOOT,N/A,human,2026-09-13T15:57:40.766555,app_crash_and_performance,DIRECT_TROUBLESHOOT,N/A,HIGH,True
SPOT-GOLD-064,1269712,Trying to get allll my songs back on Spotify why did they all erase😭 @115888 f u,None (thread root),ambiguous_vague,CLARIFICATION_PROMPT,N/A,@417282 2: this just happening with some tracks or playlists? We'll see what we can suggest /CH,VERIFIED,AI recommendation based on diagnostic symptoms: ambiguous_vague -> CLARIFICATION_PROMPT.,ambiguous_vague,CLARIFICATION_PROMPT,N/A,human,2026-09-13T15:58:17.377430,ambiguous_vague,CLARIFICATION_PROMPT,N/A,MEDIUM,True
SPOT-GOLD-065,1419711,@115888 it's 2017 can iOS please have a way to kill cached songs? I didnt un-download them because I wanted to keep hearing them :/,None (thread root),offline_listening_and_downloads,DIRECT_TROUBLESHOOT,N/A,@450039 Hey! We see how that'd be handy. Show your support here to help make it happen: https://t.co/fDfdWqd3CO /RH,VERIFIED,AI recommendation based on diagnostic symptoms: offline_listening_and_downloads -> DIRECT_TROUBLESHOOT.,offline_listening_and_downloads,DIRECT_TROUBLESHOOT,N/A,human,2026-09-13T15:57:40.932999,offline_listening_and_downloads,DIRECT_TROUBLESHOOT,N/A,HIGH,True
SPOT-GOLD-066,1845194,@SpotifyCares you might want to check your upcoming concerts near you email @2235 playing Leicester... click through... cover band?!,None (thread root),account_access_and_login,INFO_PROVISION,N/A,@257827 Can you DM us a screenshot of the email you received? It'd be great if you could also include the link that you've clicked /MU https://t.co/ldFdZRiNAt,VERIFIED,AI recommendation based on diagnostic symptoms: account_access_and_login -> INFO_PROVISION.,account_access_and_login,ESCALATE_TO_HUMAN_DM,REQUIRES_ACCOUNT_BACKEND_ACCESS,human,2026-09-13T15:58:17.777448,account_access_and_login,INFO_PROVISION,N/A,HIGH,False
SPOT-GOLD-067,1764098,@SpotifyCares Hey there. Currently getting skipping during songs. Playing on Macbook Pro OS 10.12.6. Any suggestions? Have latest Spotify.,None (thread root),playback_and_audio,DIRECT_TROUBLESHOOT,N/A,"@530692 Hey Cormac, help's here! Could you confirm the exact app version? Does it happen during all songs? We'll see what we can suggest /T",VERIFIED,AI recommendation based on diagnostic symptoms: playback_and_audio -> DIRECT_TROUBLESHOOT.,playback_and_audio,DIRECT_TROUBLESHOOT,N/A,human,2026-09-13T15:57:41.091350,playback_and_audio,DIRECT_TROUBLESHOOT,N/A,HIGH,True
SPOT-GOLD-068,2752836,@SpotifyCares I was logged into the wrong account on google when I bough premium. Is there anyway I can get my money back for that acc or switch the premium to another account ??,None (thread root),subscription_and_billing,ESCALATE_TO_HUMAN_DM,BILLING_RECEIPT_OR_PAYMENT_VERIFICATION,"@770625 Hey there! Can you DM us your account's email address or username, as well as that of the account you've wrongly subscribed to Premium? We'll take a look backstage /AR https://t.co/ldFdZRiNAt",VERIFIED,Explicit billing dispute or refund request requires secure human DM lookup.,subscription_and_billing,ESCALATE_TO_HUMAN_DM,BILLING_RECEIPT_OR_PAYMENT_VERIFICATION,human,2026-09-13T15:58:18.007999,subscription_and_billing,ESCALATE_TO_HUMAN_DM,BILLING_RECEIPT_OR_PAYMENT_VERIFICATION,HIGH,True
SPOT-GOLD-069,1304298,@117153  my subscription says I have Spotify Free but I'm being charged $11 every month. I still get ads. So? What's wrong?,None (thread root),subscription_and_billing,INFO_PROVISION,N/A,@424786 Hey there! Can you DM us your account's email address? We'll take a look /RB https://t.co/ldFdZRiNAt,VERIFIED,AI recommendation based on diagnostic symptoms: subscription_and_billing -> INFO_PROVISION.,subscription_and_billing,ESCALATE_TO_HUMAN_DM,BILLING_RECEIPT_OR_PAYMENT_VERIFICATION,human,2026-09-13T15:58:18.189325,subscription_and_billing,INFO_PROVISION,N/A,HIGH,False
SPOT-GOLD-070,1167960,@115888 why does ur app never work !!!!!!!!!!,None (thread root),ambiguous_vague,CLARIFICATION_PROMPT,N/A,"@394723 Hey Dayna! Could you send us some details about what's happening, along with any error messages you're seeing? We'll keep an eye out /MQ",VERIFIED,AI recommendation based on diagnostic symptoms: ambiguous_vague -> CLARIFICATION_PROMPT.,ambiguous_vague,CLARIFICATION_PROMPT,N/A,human,2026-09-13T15:58:18.372170,ambiguous_vague,CLARIFICATION_PROMPT,N/A,MEDIUM,True
SPOT-GOLD-071,2135066,"@SpotifyCares I’m having issues on iOS11 with my iPhone 8 Plus not resuming music after a phone call, or using Siri. I have to force close the app and restart it to get music to resume. Any ideas on what I can do? I’m fully updated on the newest version of the app and reinstalled",None (thread root),app_crash_and_performance,ESCALATE_TO_HUMAN_DM,PERSISTENT_BUG_INTERNAL_LOGS,@628150 Hey Dylan! That doesn't sound good. Could you send us a DM with your account's email address? We'll take a look backstage /QI https://t.co/ldFdZRiNAt,VERIFIED,AI recommendation based on diagnostic symptoms: app_crash_and_performance -> ESCALATE_TO_HUMAN_DM.,app_crash_and_performance,ESCALATE_TO_HUMAN_DM,PERSISTENT_BUG_INTERNAL_LOGS,human,2026-09-13T15:58:20.595249,app_crash_and_performance,ESCALATE_TO_HUMAN_DM,PERSISTENT_BUG_INTERNAL_LOGS,HIGH,True
SPOT-GOLD-072,1764663,@SpotifyCares Yes it happened once but then I just turned it off. I’m using my iPhone 6,"Prior Turn [SpotifyCares (1764660)]: @530822 Does the issue still happen after reinstalling the app? If so, let us know the device and operating system you're rocking /JM",ambiguous_vague,CLARIFICATION_PROMPT,N/A,"@530822 1: Could you recall when did the issue start happening? Was it since you've upgraded to the latest iOS version? Also, did you...",VERIFIED,AI recommendation based on diagnostic symptoms: ambiguous_vague -> CLARIFICATION_PROMPT.,ambiguous_vague,CLARIFICATION_PROMPT,N/A,human,2026-09-13T15:58:21.638800,ambiguous_vague,CLARIFICATION_PROMPT,N/A,MEDIUM,True
SPOT-GOLD-073,1998012,@151631 @SpotifyCares looks like it's not possible if you signed up with Facebook. i've already recreated all of my playlists on a new Spotify account and free from hell. thanks though!,"Prior Turn [Customer (1998011)]: @590778 Hi! There's steps on using Spotify without Facebook here: https://t.co/Pas210HNKb. Or, @SpotifyCares can help 🙂",playlist_library_and_curation,DIRECT_TROUBLESHOOT,N/A,@590778 Hey there! We'd like to share more info about your old account. Can you DM us your new account's email address? We'll help out backstage /AG https://t.co/ldFdZRiNAt,VERIFIED,AI recommendation based on diagnostic symptoms: playlist_library_and_curation -> DIRECT_TROUBLESHOOT.,playlist_library_and_curation,ESCALATE_TO_HUMAN_DM,PERSISTENT_BUG_INTERNAL_LOGS,human,2026-09-13T15:58:22.118458,playlist_library_and_curation,DIRECT_TROUBLESHOOT,N/A,MEDIUM,False
SPOT-GOLD-074,1967473,@SpotifyCares Version 8.4.24.506. Logged out and restarted. Seems to be working now. Will keep you updated,Prior Turn [SpotifyCares (1967467)]: @583010 Hey. What Spotify version are you on? Does logging out &gt; restarting your device by holding Home + Lock for 10 seconds &gt; logging in help? /AY,non_support_or_chatter,INFO_PROVISION,N/A,@583010 Cool! Just give us a shout if the problem persists. We're... https://t.co/zOXI69QSqg 🙂 /AY,VERIFIED,Customer confirms issue is resolved/working now; polite closure.,account_access_and_login,INFO_PROVISION,N/A,human,2026-09-13T15:58:22.583133,non_support_or_chatter,INFO_PROVISION,N/A,MEDIUM,False
SPOT-GOLD-075,2312929,@125633 hey! Is the live function of the app down?,None (thread root),service_outage_and_status,INFO_PROVISION,N/A,@670738 Hi! Are you running the Spotify for Artists app on iOS or Android? Have you tried a different WiFi connection or switched to 4G? Can you still get to the desktop version? Keep us posted /T,VERIFIED,AI recommendation based on diagnostic symptoms: service_outage_and_status -> INFO_PROVISION.,service_outage_and_status,INFO_PROVISION,N/A,human,2026-09-13T15:57:41.233284,service_outage_and_status,INFO_PROVISION,N/A,HIGH,True
SPOT-GOLD-076,2234742,@SpotifyCares When will Taylor Swifts #Reputation be hitting the catalog. As I check at midnight eastern and right now. It's not There,None (thread root),music_catalog_and_content,INFO_PROVISION,N/A,"@647492 Hi David! ""Reputation"" isn't available to stream just yet – stay tuned! For now, check out the singles: https://t.co/3h0TnPWP0c 🤘 /JI",VERIFIED,AI recommendation based on diagnostic symptoms: music_catalog_and_content -> INFO_PROVISION.,music_catalog_and_content,INFO_PROVISION,N/A,human,2026-09-13T15:57:41.400033,music_catalog_and_content,INFO_PROVISION,N/A,HIGH,True
SPOT-GOLD-077,2953031,Yo @115888 why is my @439305 podcast stopping early and won't continue the episode??,None (thread root),playback_and_audio,DIRECT_TROUBLESHOOT,N/A,"@815350 Hey there, calvary's here!  Does logging out &gt; restarting the device &gt; logging back in help? Let us know how it goes /TX",VERIFIED,AI recommendation based on diagnostic symptoms: playback_and_audio -> DIRECT_TROUBLESHOOT.,playback_and_audio,DIRECT_TROUBLESHOOT,N/A,human,2026-09-13T15:57:41.633315,playback_and_audio,DIRECT_TROUBLESHOOT,N/A,HIGH,True
SPOT-GOLD-078,1580650,@SpotifyCares hopefully you can help me figure out my problem with logging in,None (thread root),account_access_and_login,INFO_PROVISION,N/A,@355487 Hi! We've replied to your DM. Let's continue chatting there /GU,VERIFIED,AI recommendation based on diagnostic symptoms: account_access_and_login -> INFO_PROVISION.,account_access_and_login,ESCALATE_TO_HUMAN_DM,REQUIRES_ACCOUNT_BACKEND_ACCESS,human,2026-09-13T15:58:24.866453,account_access_and_login,INFO_PROVISION,N/A,HIGH,False
SPOT-GOLD-079,1189532,@SpotifyCares Yeh I know and use this but I often miss a new release because it isn’t within one of these playlists.,Prior Turn [SpotifyCares (1189530)]: @124014 Hey Dave! We'd suggest checking out the Release Radar and New Music Friday playlists. They should help 🙂 /AR,playlist_library_and_curation,DIRECT_TROUBLESHOOT,N/A,"@124014 1: Thanks for the feedback. Our Curation team are independent &amp; use taste, data, research, and trends to create playlists, but we’ll...",VERIFIED,AI recommendation based on diagnostic symptoms: playlist_library_and_curation -> DIRECT_TROUBLESHOOT.,playlist_library_and_curation,DIRECT_TROUBLESHOOT,N/A,human,2026-09-13T15:57:41.830534,playlist_library_and_curation,DIRECT_TROUBLESHOOT,N/A,HIGH,True
SPOT-GOLD-080,1748248,@SpotifyCares Thank you!❤️,Prior Turn [SpotifyCares (1748247)]: @449566 Hey! We can see that the Artist Services team have reached out to you about this now. Give us a shout if you need anything else /K,non_support_or_chatter,INFO_PROVISION,N/A,@449566 You're welcome! If you ever need anything else... https://t.co/jp1YQJi0ad 🙂 /JX,VERIFIED,AI recommendation based on diagnostic symptoms: non_support_or_chatter -> INFO_PROVISION.,non_support_or_chatter,INFO_PROVISION,N/A,human,2026-09-13T15:57:42.771047,non_support_or_chatter,INFO_PROVISION,N/A,HIGH,True
SPOT-GOLD-081,2358995,@SpotifyCares how do you delete your account if you can’t access the email address you used,None (thread root),account_access_and_login,INFO_PROVISION,N/A,"@681294 Hey Lucy, help's here! Could you DM us the username and email address of your account? We'll see what we can suggest /JQ https://t.co/ldFdZRiNAt",VERIFIED,AI recommendation based on diagnostic symptoms: account_access_and_login -> INFO_PROVISION.,account_access_and_login,ESCALATE_TO_HUMAN_DM,REQUIRES_ACCOUNT_BACKEND_ACCESS,human,2026-09-13T15:58:25.283651,account_access_and_login,INFO_PROVISION,N/A,HIGH,False
SPOT-GOLD-082,1813195,@115888 are there issues with in car controls and iOS 11 or iPhone 7? Tried everything to get it to work and can't skip tracks anymore :(,None (thread root),playback_and_audio,ESCALATE_TO_HUMAN_DM,PERSISTENT_BUG_INTERNAL_LOGS,"@544716 Hi there! We don't have any specific info to share about this. On the other hand, can you let us know the make and model of your car? /PL",VERIFIED,Customer explicitly tried standard troubleshooting; escalate for internal device logs.,playback_and_audio,DIRECT_TROUBLESHOOT,N/A,human,2026-09-13T15:58:25.700105,playback_and_audio,ESCALATE_TO_HUMAN_DM,PERSISTENT_BUG_INTERNAL_LOGS,MEDIUM,False
SPOT-GOLD-083,1096824,"@SpotifyCares The devices being used feature is stopping me from listening, as you can see there is only one device yet the play button is grayed out.",Prior Turn [SpotifyCares (1096822)]: @378822 Hey there! Can you let us know what exactly's happening? We'll do our best to keep your gaming sessions filled with tunes /QI,playback_and_audio,DIRECT_TROUBLESHOOT,N/A,@378822 Got it. Could you try opening the web player in an incognito/private window? Keep us posted /RK,VERIFIED,AI recommendation based on diagnostic symptoms: playback_and_audio -> DIRECT_TROUBLESHOOT.,playback_and_audio,DIRECT_TROUBLESHOOT,N/A,human,2026-09-13T15:57:42.958688,playback_and_audio,DIRECT_TROUBLESHOOT,N/A,HIGH,True
SPOT-GOLD-084,572092,"@SpotifyCares Is there a way to download or access my own user/listening data? Would love to do my own exploratory analysis on this data, and be able to archive it.",None (thread root),offline_listening_and_downloads,DIRECT_TROUBLESHOOT,N/A,"@254430 Hey there! We're afraid this isn't possible right now, but we can see how that’d be handy. Thanks for taking the time to reach out – your feedback's been noted 📝 /NQ",VERIFIED,AI recommendation based on diagnostic symptoms: offline_listening_and_downloads -> DIRECT_TROUBLESHOOT.,offline_listening_and_downloads,DIRECT_TROUBLESHOOT,N/A,human,2026-09-13T15:57:43.116791,offline_listening_and_downloads,DIRECT_TROUBLESHOOT,N/A,HIGH,True
SPOT-GOLD-085,2036008,@SpotifyCares every time I update your app (Android) it removes all of my downloaded music. then I have to redownload 2000 songs. thank you.,None (thread root),offline_listening_and_downloads,DIRECT_TROUBLESHOOT,N/A,"@206469 Hey, that's not cool! Can you DM us your account's username or email address? We'll see what's happening backstage /JM https://t.co/ldFdZRiNAt",VERIFIED,AI recommendation based on diagnostic symptoms: offline_listening_and_downloads -> DIRECT_TROUBLESHOOT.,offline_listening_and_downloads,ESCALATE_TO_HUMAN_DM,PERSISTENT_BUG_INTERNAL_LOGS,human,2026-09-13T15:58:26.024824,offline_listening_and_downloads,DIRECT_TROUBLESHOOT,N/A,MEDIUM,False
SPOT-GOLD-086,831863,@115888 please reupload @17971's debut album thank you in advance.,None (thread root),music_catalog_and_content,INFO_PROVISION,N/A,@318110 Hey there! Can you let us know the title of the album that you're looking for? We'll be waiting for your reply /MG,VERIFIED,AI recommendation based on diagnostic symptoms: music_catalog_and_content -> INFO_PROVISION.,music_catalog_and_content,INFO_PROVISION,N/A,human,2026-09-13T15:57:43.266341,music_catalog_and_content,INFO_PROVISION,N/A,HIGH,True
SPOT-GOLD-087,163731,@SpotifyCares I've been trying to get Spotify premium for the past two days with my PayPal and it hasn't been working.,None (thread root),subscription_and_billing,INFO_PROVISION,N/A,@153880 Hi there! Can you send us your account's email address or username via DM? We'll take a look /GT https://t.co/ldFdZRiNAt,VERIFIED,AI recommendation based on diagnostic symptoms: subscription_and_billing -> INFO_PROVISION.,subscription_and_billing,ESCALATE_TO_HUMAN_DM,BILLING_RECEIPT_OR_PAYMENT_VERIFICATION,human,2026-09-13T15:58:26.405847,subscription_and_billing,INFO_PROVISION,N/A,HIGH,False
SPOT-GOLD-088,1767684,@SpotifyCares Hey so this doesnt count if ive been listenin the albums offline sing day 1 😢,Prior Turn [SpotifyCares (1768393)]: @528933 Hey. Pre-sale codes are being sent out by email to some of DVSN's biggest fans on Spotify. Hopefully you're one of them! /BH,offline_listening_and_downloads,DIRECT_TROUBLESHOOT,N/A,@528933 Hey. We’re afraid the codes are unique and sent to those who listen to DVSN the most on Spotify. Sorry! We'll pass on your feedback /RH,VERIFIED,AI recommendation based on diagnostic symptoms: offline_listening_and_downloads -> DIRECT_TROUBLESHOOT.,offline_listening_and_downloads,DIRECT_TROUBLESHOOT,N/A,human,2026-09-13T15:57:43.416671,offline_listening_and_downloads,DIRECT_TROUBLESHOOT,N/A,HIGH,True
SPOT-GOLD-089,1083400,"@SpotifyCares are you still around? Android 8.0. If I try to share a track, the app force stops",None (thread root),playback_and_audio,DIRECT_TROUBLESHOOT,N/A,"@375560 Hey, help's here! Can you let us know the device's make/model and the Spotify version you're using? We'll see what we can suggest /JS",VERIFIED,AI recommendation based on diagnostic symptoms: playback_and_audio -> DIRECT_TROUBLESHOOT.,playback_and_audio,DIRECT_TROUBLESHOOT,N/A,human,2026-09-13T15:57:43.558869,playback_and_audio,DIRECT_TROUBLESHOOT,N/A,HIGH,True
SPOT-GOLD-090,670534,@SpotifyCares  Hi Spotify. Every time I try to open an account it put in HK  as country. How to avoid that?,None (thread root),ambiguous_vague,CLARIFICATION_PROMPT,N/A,@279952 Hi there! Can you let us know where you're currently located? We'll see what we can suggest /NQ,VERIFIED,AI recommendation based on diagnostic symptoms: ambiguous_vague -> CLARIFICATION_PROMPT.,ambiguous_vague,CLARIFICATION_PROMPT,N/A,human,2026-09-13T15:58:26.645681,ambiguous_vague,CLARIFICATION_PROMPT,N/A,MEDIUM,True
SPOT-GOLD-091,1778059,"@115888 what happened to the ""Weekend Party"" playlist aka the best playlist ever??  What am I supposed to do now??",None (thread root),playlist_library_and_curation,DIRECT_TROUBLESHOOT,N/A,"@534227 Hey Katie! Don't worry, we'll get this reported. Great detective work https://t.co/LpsmyUtme0 /RH",VERIFIED,AI recommendation based on diagnostic symptoms: playlist_library_and_curation -> DIRECT_TROUBLESHOOT.,playlist_library_and_curation,DIRECT_TROUBLESHOOT,N/A,human,2026-09-13T15:57:43.730026,playlist_library_and_curation,DIRECT_TROUBLESHOOT,N/A,HIGH,True
SPOT-GOLD-092,235214,@SpotifyCares Username is scopixar515 if that helps,Prior Turn [SpotifyCares (235212)]: @172015 Hi there! We appreciate your feedback. We'll make sure to pass it on to the right folks /PL,account_access_and_login,INFO_PROVISION,N/A,"@172015 Thanks! We've taken this on board. For now, give us a shout if there's anything else /PL",VERIFIED,AI recommendation based on diagnostic symptoms: account_access_and_login -> INFO_PROVISION.,account_access_and_login,INFO_PROVISION,N/A,human,2026-09-13T15:57:43.883621,account_access_and_login,INFO_PROVISION,N/A,HIGH,True
SPOT-GOLD-093,1799426,Csn @115888 hurry up and change the latest buggy update. It's crashing my phone!,None (thread root),app_crash_and_performance,DIRECT_TROUBLESHOOT,N/A,"@540680 Hey! Don't worry, help's here. Can you let us know the phone model, OS, and Spotify version you're using? We'll see what we can suggest /MT",VERIFIED,AI recommendation based on diagnostic symptoms: app_crash_and_performance -> DIRECT_TROUBLESHOOT.,app_crash_and_performance,DIRECT_TROUBLESHOOT,N/A,human,2026-09-13T15:57:44.057980,app_crash_and_performance,DIRECT_TROUBLESHOOT,N/A,HIGH,True
